Year,Driver,Team,Position,Points,GridPosition,IsWinner,IsPodium,IsTop10,Singapore_GP_Count,Singapore_GP_Wins,Singapore_GP_Podiums,Singapore_GP_Top10,Singapore_GP_Avg_Position,Singapore_GP_Avg_Points,Singapore_GP_Best_Position,Singapore_GP_Win_Rate,Singapore_GP_Podium_Rate,Singapore_GP_Top10_Rate,Singapore_GP_Avg_Grid_Position,Singapore_GP_Grid_Improvement,Singapore_GP_Position_Std,Singapore_GP_Consistency,Recent_Avg_Position,Recent_Avg_Points,Recent_Wins,Recent_Podiums,Recent_Top10,Recent_Win_Rate,Recent_Podium_Rate,Recent_Top10_Rate,Recent_Consistency,Driver_Experience_Years,Is_Rookie,Is_Veteran,Team_Singapore_GP_Count,Team_Singapore_GP_Wins,Team_Singapore_GP_Podiums,Team_Singapore_GP_Top10,Team_Singapore_GP_Avg_Position,Team_Singapore_GP_Avg_Points,Team_Singapore_GP_Best_Position,Team_Singapore_GP_Win_Rate,Team_Singapore_GP_Podium_Rate,Team_Singapore_GP_Top10_Rate,Team_Singapore_GP_Position_Std,Team_Singapore_GP_Consistency,Team_Singapore_GP_Finish_Rate,Team_Recent_Avg_Position,Team_Recent_Avg_Points,Team_Recent_Wins,Team_Recent_Podiums,Team_Recent_Top10,Team_Recent_Win_Rate,Team_Recent_Podium_Rate,Team_Recent_Top10_Rate,Team_Recent_Consistency,Team_Experience_Years,Is_New_Team,Is_Established_Team,Temperature_Avg_C,Humidity_Percent,Precipitation_mm,Wind_Speed_kmh,Weather_Condition,Data_Source,Is_Hot,Is_Cool,Is_Humid,Is_Dry,Is_Rainy,Is_Clear,Is_Windy,Weather_Severity,Temperature_Deviation,Humidity_Deviation,Circuit_Name,Circuit_Length_km,Turns,Lap_Record_Seconds,Overtaking_Difficulty,Tire_Degradation,Track_Temperature_Range,Safety_Car_Probability,DNF_Rate,Pit_Stop_Strategy,Track_Type,Is_Night_Race,Is_Street_Circuit,Is_High_Downforce,Is_Tight_Circuit,Total_Finishers,Total_Starters,DNF_Count,Safety_Car_Deployed,Average_Grid_Position,Grid_Position_Std,Position_Changes,High_Attrition_Race,Close_Competition,Grid_Spread
2008,ALO,Renault,1.0,10.0,15.0,1,1,1,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.5,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.8,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,28.0,71.4,5.8,2.6,Light Rain,Actual,0,0,0,0,1,0,0,3,0.5,8.599999999999994,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,5.2,1,0,19.0
2009,ALO,Renault,3.0,6.0,5.0,0,1,1,1,1,1,1,1.0,10.0,1.0,1.0,1.0,1.0,15.0,14.0,4.330030788530994,0.18762168081800862,1.0,10.0,1,1,1,1.0,1.0,1.0,0.5,1,0,0,2,1,1,1,10.5,5.0,1.0,0.5,0.5,0.5,13.435028842544403,0.06927592669941171,0.5,10.5,5.0,1,1,1,0.5,0.5,0.5,0.06927592669941171,1,0,0,28.0,69.3,3.3,1.0,Light Rain,Actual,0,0,0,1,1,0,0,3,0.5,10.700000000000003,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,3.2,1,0,19.0
2010,ALO,Ferrari,1.0,25.0,1.0,1,1,1,2,1,2,2,2.0,8.0,1.0,0.5,1.0,1.0,10.0,8.0,1.4142135623730951,0.4142135623730951,2.0,8.0,1,2,2,0.5,1.0,1.0,0.4142135623730951,2,0,0,4,0,0,1,12.75,0.0,10.0,0.0,0.0,0.25,2.0615528128088303,0.3266316347104093,0.75,12.75,0.0,0,0,1,0.0,0.0,0.25,0.3266316347104093,2,0,0,27.9,87.3,3.3,3.9,Light Rain,Actual,0,0,1,0,1,0,0,3,0.6000000000000014,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,10,24,14,1,12.5,7.0710678118654755,3.9166666666666665,1,0,23.0
2011,ALO,Ferrari,4.0,12.0,5.0,0,0,1,3,2,3,3,1.6666666666666667,13.666666666666666,1.0,0.6666666666666666,1.0,1.0,7.0,5.333333333333333,1.1547005383792517,0.4641016151377546,1.6666666666666667,13.666666666666666,2,3,3,0.6666666666666666,1.0,1.0,0.4641016151377546,3,0,0,6,1,1,3,10.0,4.833333333333333,1.0,0.16666666666666666,0.16666666666666666,0.5,5.059644256269407,0.16502618927924417,0.8333333333333334,9.4,5.8,1,1,3,0.2,0.2,0.6,0.1559345385544079,3,0,1,29.4,91.0,4.7,11.3,Light Rain,Actual,0,0,1,0,1,0,0,3,0.8999999999999986,11.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,6,24,18,1,12.5,7.0710678118654755,2.5833333333333335,1,0,23.0
2012,ALO,Ferrari,3.0,15.0,5.0,0,1,1,4,2,3,4,2.25,13.25,1.0,0.5,0.75,1.0,6.5,4.25,1.5,0.4,2.25,13.25,2,3,4,0.5,0.75,1.0,0.4,4,0,0,8,1,1,5,9.125,5.375,1.0,0.125,0.125,0.625,4.764076885549662,0.17348831735866757,0.75,7.0,8.6,1,1,4,0.2,0.2,0.8,0.1774053291584318,4,0,1,27.7,76.0,4.9,25.0,Light Rain,Actual,0,0,0,0,1,0,1,3,0.8000000000000007,4.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,24,8,1,12.5,7.0710678118654755,5.583333333333333,1,0,23.0
2013,ALO,Ferrari,2.0,18.0,7.0,0,1,1,5,2,4,5,2.4,13.6,1.0,0.4,0.8,1.0,6.2,3.8000000000000003,1.3416407864998738,0.42705098312484224,2.4,13.6,2,4,5,0.4,0.8,1.0,0.42705098312484224,5,0,1,10,1,2,7,8.4,6.2,1.0,0.1,0.2,0.7,4.623610902506587,0.1778216909627006,0.8,6.4,7.4,0,1,5,0.0,0.2,1.0,0.27013511384464434,5,0,1,28.9,86.5,5.0,2.2,Light Rain,Actual,0,0,1,0,1,0,0,3,0.3999999999999986,6.5,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,22,8,1,11.5,6.493586579592718,4.636363636363637,1,0,21.0
2014,ALO,Ferrari,4.0,12.0,5.0,0,0,1,6,2,5,6,2.3333333333333335,14.333333333333334,1.0,0.3333333333333333,0.8333333333333334,1.0,6.333333333333333,3.9999999999999996,1.2110601416389966,0.45227173208356436,2.6,15.2,1,4,5,0.2,0.8,1.0,0.4672514169971265,6,0,1,12,1,3,9,7.666666666666667,7.333333333333333,1.0,0.08333333333333333,0.25,0.75,4.599077641388016,0.17860084536211204,0.8333333333333334,5.6,9.4,0,2,5,0.0,0.4,1.0,0.24693857065004593,6,0,1,27.0,95.0,5.7,1.5,Light Rain,Actual,0,0,1,0,1,0,0,3,1.5,15.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,22,6,1,11.5,6.493586579592718,4.090909090909091,1,0,21.0
2015,ALO,McLaren,17.0,0.0,12.0,0,0,0,7,2,5,7,2.5714285714285716,14.0,1.0,0.2857142857142857,0.7142857142857143,1.0,6.142857142857143,3.5714285714285716,1.2724180205607036,0.4400598793672904,2.8,16.4,1,3,5,0.2,0.6,1.0,0.4340578300578996,7,0,1,14,1,4,11,8.571428571428571,6.214285714285714,1.0,0.07142857142857142,0.2857142857142857,0.7857142857142857,7.089692254515444,0.12361409662299915,0.7857142857142857,13.4,2.2,0,0,3,0.0,0.0,0.6,0.1199781880370625,7,0,1,30.3,78.7,14.5,13.8,Rain,Actual,1,0,0,0,1,0,0,3,1.8000000000000007,1.2999999999999972,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,12,20,8,1,10.5,5.916079783099616,4.3,1,0,19.0
2016,ALO,McLaren,7.0,6.0,9.0,0,0,1,8,2,5,7,4.375,12.25,1.0,0.25,0.625,0.875,6.875,2.5,5.2355242608275905,0.16037143921997637,6.0,11.4,0,2,4,0.0,0.4,0.8,0.13879564861321142,8,0,1,16,1,4,11,9.5625,5.4375,1.0,0.0625,0.25,0.6875,7.136467380060436,0.12290346083739503,0.6875,13.8,1.0,0,0,2,0.0,0.0,0.4,0.18200213598171075,8,0,1,29.3,87.0,3.1,8.2,Light Rain,Actual,0,0,1,0,1,0,0,3,0.8000000000000007,7.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,10,22,12,1,11.5,6.493586579592718,4.363636363636363,1,0,21.0
2017,ALO,McLaren,17.0,0.0,8.0,0,0,0,9,2,5,8,4.666666666666667,11.555555555555555,1.0,0.2222222222222222,0.5555555555555556,0.8888888888888888,7.111111111111111,2.4444444444444438,4.9749371855331,0.16736577623297264,6.6,10.2,0,2,4,0.0,0.4,0.8,0.14069896952729996,9,0,1,18,1,4,12,9.944444444444445,5.166666666666667,1.0,0.05555555555555555,0.2222222222222222,0.6666666666666666,7.09989413526893,0.12345840369021051,0.6666666666666666,15.4,1.2,0,0,1,0.0,0.0,0.2,0.17161467957214657,9,0,1,27.3,82.0,0.8,2.1,Clear,Actual,0,0,0,0,0,1,0,1,1.1999999999999993,2.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,11,20,9,1,10.5,5.916079783099616,6.9,1,0,19.0
