feature,importance
Recent_Avg_Points,0.120925315
Singapore_GP_Avg_Points,0.07324624
Singapore_GP_Top10,0.056609932
Team_Singapore_GP_Podiums,0.052942943
Team_Singapore_GP_Top10_Rate,0.0479068
Team_Recent_Avg_Points,0.04078984
Average_Grid_Position,0.03801717
Team_Singapore_GP_Position_Std,0.03771268
Driver_Experience_Years,0.037194222
Singapore_GP_Avg_Grid_Position,0.03342962
Recent_Podium_Rate,0.032195937
Team_Singapore_GP_Count,0.031657673
Singapore_GP_Win_Rate,0.0315295
Singapore_GP_Best_Position,0.025952978
Team_Singapore_GP_Finish_Rate,0.024669496
DNF_Count,0.0224116
Recent_Top10,0.021899426
Position_Changes,0.020452805
Team_Recent_Avg_Position,0.018602483
Team_Recent_Consistency,0.017936094
Singapore_GP_Position_Std,0.017413361
Team_Singapore_GP_Win_Rate,0.0167153
Recent_Consistency,0.013890278
Singapore_GP_Grid_Improvement,0.013773307
Total_Finishers,0.013522714
Singapore_GP_Avg_Position,0.013278267
Singapore_GP_Podiums,0.012661545
Singapore_GP_Podium_Rate,0.012060446
Singapore_GP_Top10_Rate,0.011832206
Team_Singapore_GP_Avg_Points,0.011365297
Precipitation_mm,0.010640487
Singapore_GP_Count,0.010553319
Team_Recent_Podium_Rate,0.009785948
Recent_Avg_Position,0.008599788
Temperature_Deviation,0.0076503204
Wind_Speed_kmh,0.00691656
Recent_Top10_Rate,0.0048039625
Recent_Podiums,0.0047228076
Is_Humid,0.0045525073
Humidity_Percent,0.00315592
Team_Singapore_GP_Podium_Rate,0.0022477885
Humidity_Deviation,0.0020251423
Team_Singapore_GP_Top10,0.0017500324
Is_Rookie,0.0
Is_Veteran,0.0
Recent_Wins,0.0
Singapore_GP_Consistency,0.0
Singapore_GP_Wins,0.0
Recent_Win_Rate,0.0
Team_Recent_Wins,0.0
Is_New_Team,0.0
Team_Experience_Years,0.0
Team_Singapore_GP_Avg_Position,0.0
Team_Singapore_GP_Best_Position,0.0
Team_Singapore_GP_Wins,0.0
Team_Singapore_GP_Consistency,0.0
Team_Recent_Top10,0.0
Team_Recent_Podiums,0.0
Is_Cool,0.0
Is_Hot,0.0
Temperature_Avg_C,0.0
Is_Established_Team,0.0
Team_Recent_Win_Rate,0.0
Team_Recent_Top10_Rate,0.0
Is_Dry,0.0
Is_Rainy,0.0
Circuit_Length_km,0.0
Turns,0.0
Lap_Record_Seconds,0.0
Overtaking_Difficulty,0.0
Is_Windy,0.0
Is_Clear,0.0
Weather_Severity,0.0
Circuit_Name,0.0
DNF_Rate,0.0
Safety_Car_Probability,0.0
Track_Temperature_Range,0.0
Tire_Degradation,0.0
Is_Street_Circuit,0.0
Pit_Stop_Strategy,0.0
Is_Night_Race,0.0
Track_Type,0.0
Total_Starters,0.0
Is_Tight_Circuit,0.0
Is_High_Downforce,0.0
Safety_Car_Deployed,0.0
Grid_Position_Std,0.0
High_Attrition_Race,0.0
Close_Competition,0.0
Grid_Spread,0.0
